iter	Passed	Remaining
453	19439	1969
454	19482	1926
455	19522	1883
456	19563	1840
457	19611	1798
458	19653	1755
459	19698	1712
460	19739	1669
461	19778	1626
462	19814	1583
463	19853	1540
464	19895	1497
465	19934	1454
466	19972	1411
467	20016	1368
468	20056	1325
469	20093	1282
470	20135	1239
471	20173	1196
472	20215	1153
473	20257	1111
474	20300	1068
475	20341	1025
476	20380	982
477	20422	939
478	20462	897
479	20502	854
480	20583	813
481	20627	770
482	20666	727
483	20704	684
484	20745	641
485	20788	598
486	20828	555
487	20865	513
488	20904	470
489	20947	427
490	20985	384
491	21024	341
492	21071	299
493	21108	256
494	21147	213
495	21189	170
496	21231	128
497	21273	85
498	21312	42
499	21355	0
