iter	Logloss
402	0.2659717243
403	0.2659619412
404	0.2659536307
405	0.2659417996
406	0.2659314914
407	0.2659183466
408	0.2659000147
409	0.2658913342
410	0.2658813302
411	0.2658670112
412	0.2658598439
413	0.2658489855
414	0.2658408843
415	0.265829586
416	0.2658197138
417	0.2658093455
418	0.2657967704
419	0.2657877023
420	0.2657795275
421	0.2657706434
422	0.2657599807
423	0.2657464445
424	0.2657324781
425	0.2657238537
426	0.2657113909
427	0.265704586
428	0.2656947215
429	0.2656854229
430	0.2656755836
431	0.2656679843
432	0.2656561589
433	0.265648422
434	0.2656373582
435	0.2656277185
436	0.2656201811
437	0.2656096831
438	0.2655999426
439	0.2655887412
440	0.265582411
441	0.265571818
442	0.2655613316
443	0.2655523139
444	0.2655427866
445	0.2655304381
446	0.265520814
447	0.2655090584
448	0.2655011258
449	0.2654935942
450	0.2654866459
451	0.265474528
452	0.2654663028
453	0.265458002
454	0.265448031
455	0.2654385851
456	0.2654315825
457	0.265420881
458	0.2654122334
459	0.2654032157
460	0.265395035
461	0.2653840003
462	0.2653761994
463	0.265367825
464	0.2653579605
465	0.2653441453
466	0.2653359646
467	0.2653249977
468	0.2653142942
469	0.265305447
470	0.2652938736
471	0.2652864971
472	0.2652787292
473	0.2652666984
474	0.2652594963
475	0.2652508952
476	0.2652432784
477	0.2652311469
478	0.2652213038
479	0.2652113851
480	0.2652037489
481	0.2651938651
482	0.2651854287
483	0.265173582
484	0.2651658955
485	0.2651563236
486	0.2651480325
487	0.2651397395
488	0.2651288946
489	0.2651173231
490	0.2651068154
491	0.2650969335
492	0.2650853872
493	0.2650795046
494	0.2650719498
495	0.2650592855
496	0.2650483205
497	0.2650405758
498	0.265029822
499	0.2650142241
